kor,no,url,part
ㅍ,10547,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005870/MOV000359872_700X466.mp4,
ㅍ피읖,20740,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290354/MOV000288592_700X466.mp4,명사
ㅎ,9294,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005694/MOV000359819_700X466.mp4,
ㅎ히읗,20794,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290361/MOV000288825_700X466.mp4,명사
ㅏ,10936,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005855/MOV000359857_700X466.mp4,
ㅏ아,20186,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160419/290882/MOV000286773_700X466.mp4,명사
ㅐ,9811,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005754/MOV000359831_700X466.mp4,
ㅑ,9816,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005755/MOV000359832_700X466.mp4,
ㅑ야,20224,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290192/MOV000286878_700X466.mp4,명사
ㅒ,9827,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005756/MOV000359833_700X466.mp4,
ㅒ얘,20235,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290196/MOV000286912_700X466.mp4,명사
ㅓ,9828,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005757/MOV000359834_700X466.mp4,
ㅓ어,20236,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290197/MOV000286914_700X466.mp4,명사
ㅔ,11736,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001923/MOV000359500_700X466.mp4,
ㅕ,10804,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005884/MOV000359886_700X466.mp4,
ㅕ여,20316,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290227/MOV000287127_700X466.mp4,명사
ㅖ,12839,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009749/MOV000360046_700X466.mp4,
ㅖ예,20333,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290231/MOV000287178_700X466.mp4,명사
ㅗ,10830,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005885/MOV000359887_700X466.mp4,
ㅗ오,20336,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290232/MOV000287187_700X466.mp4,명사
ㅘ,10848,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005886/MOV000359888_700X466.mp4,
ㅘ와,20342,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290235/MOV000287200_700X466.mp4,명사
ㅙ,10852,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005887/MOV000359889_700X466.mp4,
ㅙ왜,20347,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290237/MOV000287215_700X466.mp4,명사
ㅚ,11737,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001925/MOV000359502_700X466.mp4,
ㅚ외,20348,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290238/MOV000287217_700X466.mp4,명사
